Hour,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day,Rented Bike Count
0.0,-13.6,49.0,1.6,2000.0,-22.0,0.0,0.0,0.0,Winter,No Holiday,Yes,105
16.0,-0.5,48.0,1.1,1722.0,-10.1,,0.0,1.6,Winter,No Holiday,Yes,225
17.0,,85.0,1.6,1000.0,,0.2,0.0,3.5,Autumn,No Holiday,Yes,435
17.0,28.5,60.0,2.6,1014.0,,1.33,0.0,0.0,Summer,No Holiday,Yes,2099
7.0,2.2,65.0,1.9,2000.0,-3.7,0.0,0.0,0.0,Spring,No Holiday,Yes,598
16.0,36.0,33.0,1.4,2000.0,17.1,1.97,0.0,0.0,Summer,No Holiday,Yes,760
7.0,10.8,78.0,0.5,335.0,7.1,0.26,0.0,0.0,,No Holiday,Yes,376
2.0,25.4,85.0,2.0,1453.0,22.6,0.0,0.8,0.0,Summer,No Holiday,Yes,83
2.0,4.4,87.0,1.8,207.0,2.4,0.0,0.0,0.0,Winter,No Holiday,Yes,112
3.0,21.5,61.0,1.3,2000.0,13.6,0.0,0.0,0.0,Autumn,No Holiday,Yes,440
7.0,-4.4,64.0,2.8,1367.0,-10.1,0.0,0.0,2.6,Winter,No Holiday,Yes,165
8.0,-9.1,33.0,2.1,1998.0,,0.03,0.0,0.0,,No Holiday,Yes,517
11.0,16.8,38.0,1.5,1326.0,,2.07,0.0,0.0,Autumn,No Holiday,Yes,1055
1.0,3.3,64.0,0.4,339.0,-2.8,0.0,0.0,0.0,Winter,No Holiday,Yes,183
6.0,9.2,65.0,0.8,1689.0,2.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,513
0.0,16.7,50.0,1.7,2000.0,6.2,0.0,0.0,0.0,Autumn,No Holiday,Yes,770
0.0,3.8,42.0,1.7,1458.0,-7.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,478
1.0,8.5,61.0,0.2,1273.0,1.3,0.0,0.0,0.0,Autumn,No Holiday,,0
0.0,14.5,63.0,0.9,2000.0,7.5,0.0,0.0,0.0,Spring,,,0
2.0,-7.3,57.0,2.0,1978.0,,0.0,0.0,0.0,Winter,No Holiday,Yes,123
23.0,17.9,79.0,0.4,323.0,14.1,0.0,0.0,0.0,Spring,No Holiday,Yes,1044
18.0,30.3,56.0,1.7,,20.5,0.8,0.0,0.0,Summer,No Holiday,Yes,2830
10.0,-1.8,23.0,0.6,2000.0,-20.2,0.8,0.0,0.0,Winter,No Holiday,Yes,156
17.0,-2.4,85.0,0.3,174.0,-4.5,0.06,0.0,0.6,Winter,No Holiday,Yes,53
0.0,12.5,84.0,1.5,334.0,9.8,0.0,0.0,0.0,Spring,No Holiday,Yes,724
14.0,22.8,39.0,2.6,1983.0,8.1,3.39,0.0,0.0,Spring,No Holiday,Yes,2128
23.0,14.0,66.0,1.2,519.0,7.7,0.0,0.0,0.0,,No Holiday,Yes,975
16.0,9.6,96.0,1.7,1409.0,8.9,0.23,1.0,0.0,Spring,No Holiday,Yes,41
19.0,21.2,65.0,2.9,559.0,14.3,0.25,0.0,0.0,Spring,No Holiday,Yes,2064
1.0,21.5,83.0,1.3,345.0,18.4,0.0,0.0,0.0,,No Holiday,Yes,545
20.0,-3.9,44.0,2.5,2000.0,-14.3,0.0,0.0,0.0,Winter,No Holiday,Yes,294
20.0,31.0,64.0,2.9,1992.0,,0.01,0.0,0.0,Summer,No Holiday,Yes,1847
23.0,-4.4,58.0,2.4,2000.0,-11.4,0.0,0.0,0.0,Winter,No Holiday,Yes,140
10.0,-1.8,30.0,2.1,1608.0,-17.1,1.59,0.0,0.0,Spring,No Holiday,Yes,274
14.0,4.7,32.0,2.2,1948.0,-10.6,1.06,,0.0,Winter,No Holiday,Yes,486
5.0,15.7,0.0,0.6,1610.0,10.6,0.0,0.0,0.0,Spring,Holiday,Yes,182
17.0,9.3,81.0,2.4,2000.0,6.1,0.52,0.0,0.0,Spring,No Holiday,Yes,675
9.0,25.5,40.0,2.6,1990.0,10.8,1.7,0.0,,Summer,No Holiday,Yes,1069
9.0,7.0,57.0,0.7,1553.0,-0.9,0.79,0.0,0.0,Autumn,No Holiday,Yes,1027
8.0,14.2,,0.9,1812.0,8.1,0.06,0.0,0.0,Spring,No Holiday,Yes,1371
12.0,8.3,36.0,2.5,1665.0,-5.9,,0.0,0.0,Spring,No Holiday,Yes,668
22.0,24.4,67.0,1.6,2000.0,17.8,0.0,0.0,0.0,Summer,No Holiday,Yes,1941
1.0,11.7,52.0,1.1,2000.0,2.1,0.0,,0.0,Autumn,No Holiday,Yes,390
19.0,11.1,43.0,2.0,2000.0,-1.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,1614
0.0,-2.5,39.0,3.4,2000.0,-14.5,0.0,0.0,0.0,Winter,No Holiday,Yes,125
3.0,-2.3,52.0,3.4,1947.0,-10.8,0.0,0.0,0.0,Winter,Holiday,Yes,100
20.0,30.9,51.0,2.2,2000.0,19.5,0.07,0.0,0.0,Summer,No Holiday,Yes,1888
2.0,-0.9,84.0,0.6,230.0,-3.2,0.0,0.0,0.0,Winter,No Holiday,Yes,192
22.0,1.3,92.0,0.6,233.0,0.1,0.0,0.0,1.0,Winter,No Holiday,,222
4.0,14.0,70.0,1.5,1648.0,8.6,0.0,0.0,0.0,Spring,,Yes,82
8.0,-5.4,38.0,0.7,2000.0,-17.5,0.04,0.0,0.0,,,Yes,68
15.0,21.8,32.0,3.3,2000.0,4.3,,0.0,0.0,Autumn,Holiday,Yes,1273
17.0,11.1,42.0,2.2,765.0,-1.3,0.34,0.0,0.0,Spring,No Holiday,Yes,603
6.0,20.7,97.0,0.3,,20.2,0.0,1.0,0.0,Summer,No Holiday,Yes,40
7.0,3.4,73.0,1.1,1012.0,-0.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,991
13.0,34.3,54.0,2.2,1540.0,23.6,2.93,0.0,0.0,Summer,No Holiday,Yes,666
12.0,28.3,30.0,3.0,1675.0,9.0,3.29,0.0,0.0,Summer,No Holiday,Yes,1253
7.0,-12.3,59.0,2.3,1738.0,-18.6,0.0,0.0,0.0,Winter,No Holiday,Yes,203
4.0,20.8,66.0,1.5,1719.0,14.2,0.0,0.0,0.0,Autumn,No Holiday,,185
1.0,15.9,71.0,1.1,1312.0,10.6,,0.0,,Spring,Holiday,Yes,810
11.0,0.5,35.0,1.4,1558.0,-13.2,0.75,0.0,0.0,Winter,No Holiday,Yes,214
18.0,35.4,40.0,1.0,2000.0,19.7,0.34,0.0,0.0,Summer,No Holiday,Yes,2528
12.0,-5.2,33.0,4.6,1973.0,-19.0,1.26,0.0,0.0,Winter,No Holiday,Yes,247
15.0,3.8,17.0,3.2,2000.0,-19.0,1.97,0.0,0.0,Winter,Holiday,Yes,276
22.0,1.8,92.0,1.2,94.0,0.6,0.0,0.0,0.0,Winter,No Holiday,Yes,30
6.0,5.1,76.0,1.1,1195.0,1.2,0.0,0.0,0.0,Autumn,No Holiday,Yes,362
18.0,29.3,27.0,3.4,1977.0,8.3,1.24,0.0,0.0,Summer,No Holiday,Yes,3365
15.0,19.0,21.0,3.3,1716.0,-3.8,2.88,0.0,0.0,Spring,No Holiday,Yes,1149
6.0,3.4,85.0,1.5,234.0,1.1,0.0,0.0,0.0,,No Holiday,Yes,63
12.0,5.6,27.0,0.3,1522.0,-11.9,0.34,0.0,0.0,Autumn,No Holiday,Yes,661
10.0,3.3,47.0,0.7,818.0,-6.9,0.22,0.0,0.0,Winter,,Yes,261
23.0,8.5,52.0,0.6,2000.0,-0.8,0.0,,0.0,Autumn,No Holiday,Yes,901
7.0,20.5,69.0,1.4,2000.0,14.6,0.03,0.0,0.0,Autumn,No Holiday,Yes,1448
18.0,0.7,31.0,2.3,2000.0,-14.5,0.01,0.0,0.0,Winter,Holiday,Yes,215
17.0,7.7,46.0,2.8,1635.0,-3.2,1.05,,0.0,Spring,No Holiday,Yes,829
10.0,23.0,,1.1,516.0,16.2,0.83,0.0,0.0,Summer,No Holiday,Yes,953
12.0,1.5,,2.8,1992.0,-19.0,1.03,0.0,0.0,Winter,Holiday,Yes,225
12.0,33.6,62.0,1.9,820.0,25.3,1.35,0.0,0.0,Summer,,Yes,632
23.0,6.4,85.0,2.3,155.0,4.0,0.0,0.0,0.0,Spring,No Holiday,Yes,354
3.0,0.3,91.0,2.0,172.0,-1.0,0.0,1.0,1.2,Winter,Holiday,Yes,65
20.0,31.3,65.0,2.0,1586.0,23.9,0.02,0.0,0.0,Summer,No Holiday,Yes,1537
17.0,17.2,53.0,2.9,2000.0,7.5,0.25,0.0,0.0,Autumn,No Holiday,Yes,1799
19.0,0.1,21.0,2.9,2000.0,-19.7,0.0,0.0,0.0,Winter,Holiday,Yes,166
6.0,3.8,71.0,0.7,1071.0,-0.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,418
10.0,14.7,62.0,2.9,684.0,7.4,1.59,0.0,0.0,Spring,No Holiday,Yes,494
13.0,18.9,33.0,1.8,2000.0,2.2,2.43,0.0,0.0,Autumn,No Holiday,Yes,1190
11.0,0.8,62.0,2.8,801.0,-5.6,0.88,0.0,1.1,Winter,Holiday,Yes,142
9.0,27.6,62.0,1.5,1043.0,19.6,1.76,0.0,0.0,Summer,No Holiday,Yes,985
0.0,24.6,96.0,0.7,308.0,23.9,0.0,0.5,0.0,Summer,No Holiday,Yes,240
23.0,0.3,80.0,0.8,264.0,-2.7,0.0,0.0,0.0,Winter,No Holiday,Yes,236
12.0,21.4,40.0,1.4,1973.0,7.2,2.53,0.0,0.0,Autumn,Holiday,Yes,1634
14.0,0.9,25.0,2.4,1730.0,-16.9,2.09,0.0,0.0,Winter,No Holiday,Yes,253
2.0,4.7,78.0,1.5,,1.1,0.0,0.0,0.0,Spring,No Holiday,Yes,171
12.0,18.0,53.0,3.1,1350.0,8.2,1.53,0.0,0.0,Spring,No Holiday,Yes,926
8.0,22.2,95.0,1.6,389.0,21.3,0.26,,0.0,Summer,No Holiday,Yes,2028
16.0,5.8,50.0,0.9,547.0,-3.8,0.11,0.0,0.0,Winter,No Holiday,Yes,277
1.0,12.7,74.0,1.8,392.0,8.1,0.0,0.0,0.0,Spring,No Holiday,Yes,672
13.0,23.3,35.0,3.7,1874.0,6.9,3.28,0.0,0.0,Spring,No Holiday,Yes,1078
3.0,18.9,63.0,1.5,1007.0,11.6,0.0,0.0,0.0,Summer,No Holiday,Yes,475
3.0,-4.5,28.0,3.0,2000.0,-20.3,0.0,0.0,0.0,Winter,Holiday,Yes,34
,22.2,11.0,3.0,2000.0,-9.7,0.98,0.0,0.0,Spring,No Holiday,Yes,1986
16.0,31.8,33.0,2.1,2000.0,13.5,1.88,0.0,0.0,Summer,No Holiday,Yes,1398
13.0,21.2,97.0,1.1,760.0,20.6,0.2,3.5,0.0,Summer,No Holiday,Yes,30
9.0,14.4,61.0,0.7,1340.0,6.9,1.21,0.0,0.0,Autumn,Holiday,Yes,966
2.0,-0.9,65.0,0.6,1369.0,-6.6,0.0,0.0,0.0,Winter,No Holiday,Yes,216
22.0,27.5,82.0,0.4,1228.0,24.1,0.0,0.0,0.0,Summer,No Holiday,Yes,1494
8.0,28.2,68.0,1.3,2000.0,21.7,0.41,0.0,0.0,Summer,No Holiday,Yes,1660
6.0,6.2,52.0,0.8,1609.0,-2.9,0.0,0.0,0.0,Spring,No Holiday,Yes,395
2.0,23.9,69.0,0.3,531.0,17.8,0.0,0.2,0.0,Spring,No Holiday,Yes,145
16.0,22.0,31.0,2.7,2000.0,4.0,1.87,0.0,0.0,Autumn,Holiday,Yes,1433
17.0,-1.6,35.0,0.0,2000.0,-15.1,0.0,,0.0,Winter,No Holiday,Yes,529
8.0,15.7,65.0,1.2,2000.0,9.1,0.54,0.0,0.0,Autumn,No Holiday,Yes,848
10.0,32.0,50.0,2.1,,20.2,2.34,0.0,0.0,Summer,No Holiday,Yes,609
0.0,26.7,79.0,0.9,1590.0,22.7,0.0,0.0,0.0,Summer,No Holiday,Yes,938
9.0,22.2,48.0,1.7,1889.0,10.6,,0.0,0.0,Summer,No Holiday,Yes,1307
9.0,27.2,59.0,0.4,948.0,18.4,1.18,0.0,0.0,Summer,No Holiday,Yes,982
11.0,16.9,27.0,1.5,1354.0,-2.2,2.66,0.0,0.0,Spring,No Holiday,Yes,822
22.0,6.6,33.0,2.1,722.0,-8.5,0.0,0.0,0.0,Autumn,No Holiday,Yes,740
3.0,11.9,95.0,1.5,180.0,11.1,0.0,0.0,0.0,Spring,No Holiday,Yes,167
5.0,16.3,66.0,0.5,2000.0,9.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,165
11.0,10.1,88.0,0.7,453.0,8.1,0.34,0.0,0.0,Spring,No Holiday,Yes,273
12.0,10.2,58.0,3.5,2000.0,2.2,0.32,0.0,0.0,Spring,No Holiday,Yes,403
2.0,9.6,65.0,1.5,1654.0,3.3,0.0,0.0,0.0,Spring,No Holiday,Yes,352
16.0,6.0,28.0,1.7,1183.0,-11.1,1.03,0.0,0.0,Winter,No Holiday,Yes,319
23.0,-0.6,39.0,1.3,1731.0,-12.8,0.0,0.0,0.0,Winter,No Holiday,Yes,187
14.0,28.3,30.0,2.3,1025.0,9.0,3.14,0.0,0.0,Spring,No Holiday,Yes,1448
4.0,3.9,26.0,2.4,1071.0,-13.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,128
12.0,20.8,50.0,2.0,1240.0,9.9,1.82,0.0,0.0,Spring,No Holiday,Yes,818
3.0,1.3,40.0,2.1,2000.0,-10.8,0.0,0.0,0.0,Spring,No Holiday,Yes,82
9.0,12.4,66.0,1.0,546.0,6.2,0.91,0.0,0.0,Spring,No Holiday,Yes,723
19.0,24.9,56.0,3.1,1469.0,15.5,0.51,0.0,0.0,Summer,Holiday,Yes,2163
11.0,-4.8,70.0,1.0,1244.0,-9.4,0.21,,0.6,Winter,No Holiday,Yes,133
19.0,-0.5,43.0,2.5,1666.0,-11.5,0.0,0.0,0.0,Winter,No Holiday,Yes,379
0.0,24.7,94.0,2.8,1270.0,23.6,0.0,0.0,0.0,Summer,No Holiday,Yes,214
5.0,23.3,79.0,1.7,1592.0,19.4,0.0,0.0,0.0,Summer,No Holiday,Yes,232
,1.7,23.0,1.4,2000.0,-17.2,1.11,0.0,0.0,,No Holiday,Yes,449
4.0,-11.2,47.0,2.3,2000.0,-20.3,0.0,,0.0,Winter,No Holiday,Yes,35
2.0,2.8,87.0,1.1,321.0,0.8,0.0,0.0,0.3,Autumn,No Holiday,Yes,175
8.0,-12.8,56.0,2.4,1507.0,-19.7,0.02,0.0,0.0,Winter,No Holiday,Yes,70
,18.5,35.0,2.2,2000.0,2.7,0.68,0.0,0.0,Autumn,No Holiday,Yes,1939
14.0,3.3,14.0,2.9,1985.0,-21.7,2.49,0.0,,Winter,No Holiday,Yes,365
15.0,23.1,61.0,2.5,556.0,15.1,1.5,0.0,0.0,Spring,Holiday,Yes,1639
12.0,25.4,63.0,0.9,2000.0,17.8,1.01,0.0,0.0,Autumn,No Holiday,Yes,1284
15.0,,24.0,2.7,1536.0,-12.4,1.95,0.0,0.0,Winter,No Holiday,Yes,467
19.0,,59.0,2.3,1939.0,-6.5,0.0,0.0,0.0,Winter,Holiday,Yes,126
6.0,18.8,88.0,1.2,798.0,16.7,0.0,0.0,,,No Holiday,Yes,625
12.0,15.5,47.0,3.3,1303.0,4.2,2.44,0.0,0.0,Spring,No Holiday,Yes,626
7.0,-12.4,54.0,2.5,1790.0,-19.8,0.0,0.0,0.0,Winter,No Holiday,Yes,34
2.0,20.3,97.0,0.7,315.0,19.8,0.0,1.0,0.0,Summer,No Holiday,Yes,44
,23.0,74.0,2.4,473.0,18.1,0.0,0.0,0.0,Summer,No Holiday,Yes,1932
6.0,12.6,83.0,0.5,332.0,9.7,0.0,0.0,0.0,Spring,No Holiday,Yes,274
16.0,34.9,,2.0,1221.0,23.2,0.76,0.0,0.0,Summer,No Holiday,Yes,834
1.0,11.2,78.0,1.1,467.0,7.4,0.0,0.0,,Autumn,No Holiday,Yes,679
23.0,25.1,65.0,2.2,2000.0,18.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,1047
13.0,10.4,49.0,2.7,2000.0,0.1,0.54,0.0,0.0,Autumn,No Holiday,Yes,815
17.0,24.9,82.0,0.9,2000.0,21.6,0.67,0.0,0.0,Summer,No Holiday,,1356
22.0,-3.9,41.0,0.4,1462.0,-15.2,0.0,0.0,0.0,Winter,No Holiday,Yes,233
15.0,27.7,41.0,1.6,1969.0,13.2,1.98,0.0,0.0,Autumn,No Holiday,Yes,1251
1.0,14.4,60.0,,580.0,6.7,0.0,0.0,0.0,Spring,No Holiday,Yes,362
22.0,29.4,55.0,1.4,2000.0,19.4,0.0,0.0,0.0,Summer,No Holiday,Yes,1588
11.0,20.5,42.0,2.1,1981.0,7.1,1.59,0.0,0.0,Autumn,No Holiday,Yes,1152
22.0,14.8,83.0,1.5,227.0,11.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,1377
2.0,20.1,65.0,1.0,1435.0,13.3,0.0,0.0,0.0,,Holiday,Yes,792
6.0,4.9,83.0,3.0,582.0,2.2,0.0,0.0,0.0,Winter,No Holiday,Yes,82
13.0,17.6,49.0,4.7,2000.0,6.7,1.89,0.0,0.0,Autumn,No Holiday,Yes,1087
15.0,4.2,15.0,2.7,1995.0,-20.2,2.21,0.0,0.0,Winter,No Holiday,Yes,366
14.0,-1.5,30.0,2.8,1903.0,-16.8,1.1,0.0,0.0,Winter,No Holiday,Yes,270
23.0,10.7,42.0,0.9,1236.0,-1.7,0.0,0.0,0.0,Spring,No Holiday,Yes,671
1.0,23.0,82.0,2.1,1922.0,19.7,0.0,0.0,0.0,Summer,No Holiday,Yes,886
2.0,2.6,50.0,1.3,1962.0,-6.8,0.0,0.0,0.0,Spring,No Holiday,Yes,134
6.0,0.8,68.0,0.6,673.0,-4.4,0.0,0.0,0.0,Winter,No Holiday,Yes,128
22.0,-15.2,45.0,4.0,2000.0,-24.4,0.0,0.0,0.7,Winter,,Yes,121
14.0,19.3,83.0,2.3,2000.0,16.3,0.83,0.5,0.0,Autumn,No Holiday,Yes,573
2.0,12.5,54.0,0.7,1500.0,3.4,0.0,0.0,0.0,Spring,No Holiday,Yes,385
15.0,9.8,57.0,3.0,2000.0,1.6,0.43,0.0,0.0,Spring,No Holiday,Yes,263
20.0,10.5,97.0,1.8,372.0,10.0,0.0,0.0,0.0,Spring,No Holiday,Yes,533
3.0,24.7,84.0,0.7,694.0,21.8,0.0,0.0,0.0,Summer,No Holiday,Yes,381
3.0,7.2,,0.8,349.0,6.5,0.0,2.0,0.0,Spring,No Holiday,Yes,18
10.0,10.8,94.0,1.8,578.0,9.8,0.15,0.0,,Autumn,No Holiday,Yes,17
8.0,9.2,68.0,0.2,952.0,3.5,0.28,0.0,0.0,Autumn,No Holiday,Yes,2202
18.0,,72.0,2.4,1066.0,20.6,,0.0,0.0,Summer,No Holiday,Yes,1887
7.0,23.3,64.0,1.0,2000.0,16.0,0.1,0.0,0.0,Summer,No Holiday,Yes,392
23.0,8.4,65.0,0.8,1216.0,2.1,0.0,0.0,0.0,Autumn,,Yes,757
7.0,16.3,69.0,0.7,1750.0,10.5,0.34,0.0,0.0,Spring,Holiday,Yes,443
15.0,20.9,23.0,1.5,1892.0,-1.0,1.87,0.0,0.0,Autumn,No Holiday,Yes,1891
20.0,-2.6,36.0,3.1,2000.0,-15.6,0.0,0.0,1.6,Winter,No Holiday,Yes,229
17.0,24.8,96.0,1.8,564.0,24.1,0.14,2.5,0.0,Summer,No Holiday,Yes,39
8.0,-7.4,58.0,2.2,1882.0,-14.2,0.01,0.0,0.0,Winter,No Holiday,Yes,558
10.0,23.3,,1.1,1881.0,11.9,2.46,0.0,0.0,Spring,No Holiday,Yes,828
9.0,,87.0,1.7,1313.0,26.0,0.56,4.0,0.0,Summer,No Holiday,Yes,614
8.0,20.6,55.0,0.7,1200.0,11.2,1.21,0.0,0.0,Summer,No Holiday,Yes,2149
12.0,10.6,52.0,3.1,390.0,1.1,2.27,0.0,0.0,Spring,No Holiday,,806
22.0,18.5,40.0,2.5,2000.0,4.6,0.0,0.0,0.0,Autumn,Holiday,Yes,1074
6.0,-6.6,35.0,1.3,2000.0,-19.5,0.0,0.0,0.0,Winter,No Holiday,Yes,181
4.0,12.8,44.0,0.8,2000.0,0.8,0.0,0.0,0.0,Spring,No Holiday,Yes,205
22.0,22.7,,2.0,1099.0,18.4,0.0,0.0,0.0,Summer,No Holiday,Yes,1959
15.0,1.5,22.0,3.0,1998.0,-17.9,0.76,0.0,0.0,Winter,No Holiday,Yes,295
0.0,1.6,39.0,2.3,2000.0,-10.8,0.0,0.0,0.0,Spring,No Holiday,Yes,240
0.0,,55.0,0.7,2000.0,0.3,0.0,0.0,0.0,Spring,No Holiday,Yes,536
9.0,3.1,77.0,0.9,457.0,-0.5,0.4,0.0,0.2,Autumn,No Holiday,Yes,795
2.0,1.3,44.0,1.9,2000.0,-9.6,0.0,0.0,0.0,Autumn,No Holiday,Yes,271
8.0,-7.6,37.0,1.1,2000.0,-19.8,0.01,0.0,0.0,Winter,No Holiday,,930
11.0,7.5,36.0,1.4,1993.0,-6.6,1.98,0.0,0.0,Autumn,No Holiday,Yes,782
4.0,4.4,44.0,3.1,2000.0,-6.8,0.0,0.0,0.0,Spring,No Holiday,Yes,69
22.0,2.5,,1.1,759.0,-3.2,0.0,0.0,0.0,Winter,No Holiday,Yes,263
19.0,3.6,48.0,2.6,2000.0,-6.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,1032
15.0,18.6,31.0,1.4,1575.0,1.1,1.63,0.0,0.0,Autumn,No Holiday,Yes,1251
13.0,5.4,55.0,1.2,820.0,-2.9,0.66,0.0,0.0,Winter,Holiday,Yes,320
17.0,23.5,32.0,3.2,1925.0,0.0,1.01,0.0,0.0,Spring,No Holiday,Yes,2307
7.0,0.5,64.0,0.8,2000.0,,0.01,0.0,0.0,Spring,No Holiday,Yes,193
9.0,-12.0,53.0,2.6,1781.0,-19.6,,0.0,0.0,Winter,No Holiday,,227
12.0,2.5,84.0,1.9,1538.0,0.0,0.4,1.8,7.0,Autumn,No Holiday,Yes,167
8.0,2.6,70.0,0.6,296.0,-2.3,0.0,0.0,0.0,Winter,No Holiday,Yes,537
0.0,15.9,35.0,0.3,1995.0,0.4,0.0,0.0,0.0,Spring,No Holiday,Yes,826
18.0,16.5,38.0,1.6,1246.0,2.1,0.14,0.0,0.0,Autumn,No Holiday,Yes,1695
19.0,26.5,69.0,2.3,2000.0,20.3,0.18,0.0,0.0,Summer,No Holiday,Yes,2372
5.0,27.7,65.0,1.4,2000.0,20.5,0.0,0.0,0.0,Summer,No Holiday,Yes,196
12.0,33.9,45.0,1.4,1923.0,20.2,2.95,0.0,0.0,Summer,No Holiday,Yes,784
16.0,28.2,48.0,,1995.0,16.1,1.7,0.0,0.0,Autumn,No Holiday,Yes,1436
6.0,18.5,73.0,1.1,1028.0,13.5,0.06,0.0,0.0,Summer,,Yes,351
0.0,21.5,63.0,1.0,1740.0,14.1,0.0,0.0,0.0,Summer,No Holiday,Yes,1055
2.0,6.4,65.0,0.0,,0.2,0.0,0.0,0.0,Autumn,No Holiday,Yes,287
19.0,17.1,51.0,2.5,1223.0,6.8,0.06,0.0,0.0,Spring,No Holiday,Yes,1999
6.0,-6.4,50.0,1.5,1593.0,-15.1,0.0,0.0,0.0,Spring,No Holiday,Yes,135
6.0,24.0,85.0,0.9,1569.0,21.3,0.02,0.0,0.0,Summer,No Holiday,Yes,703
